date,year,German,French,Spanish
2001-01-01,2001,0,0,0
2001-02-01,2001,0,0,0
2001-03-01,2001,1,0,0
2001-04-01,2001,7,0,0
2001-05-01,2001,17,0,4
2001-06-01,2001,202,1,5
2001-07-01,2001,421,1,5
2001-08-01,2001,504,9,14
2001-09-01,2001,769,9,92
2001-10-01,2001,912,19,164
2001-11-01,2001,1068,27,204
2001-12-01,2001,1128,28,282
2002-01-01,2002,1226,48,743
2002-02-01,2002,1401,188,1425
2002-03-01,2002,1537,376,1475
2002-04-01,2002,2256,475,1521
2002-05-01,2002,3282,664,1713
2002-06-01,2002,4103,947,1748
2002-07-01,2002,5096,1459,1764
2002-08-01,2002,5768,2166,1792
2002-09-01,2002,7339,2725,1855
2002-10-01,2002,8928,3136,2064
2002-11-01,2002,10332,3964,2379
2002-12-01,2002,11705,4550,2642
2003-01-01,2003,14453,5661,2907
2003-02-01,2003,16534,7581,3176
2003-03-01,2003,18477,9883,3442
2003-04-01,2003,20278,10681,3643
2003-05-01,2003,23885,12542,3888
2003-06-01,2003,27293,14345,4331
2003-07-01,2003,31047,16377,5151
2003-08-01,2003,34871,17858,6535
2003-09-01,2003,39203,19477,7271
2003-10-01,2003,43640,21063,9664
2003-11-01,2003,48795,23973,12295
2003-12-01,2003,54602,26566,14135
2004-01-01,2004,61237,30360,15856
2004-02-01,2004,70888,33555,18157
2004-03-01,2004,93302,38292,20535
2004-04-01,2004,108926,42149,22404
2004-05-01,2004,123045,46109,23860
2004-06-01,2004,140341,51723,25459
2004-07-01,2004,159744,57676,27512
2004-08-01,2004,177556,64195,29883
2004-09-01,2004,196778,70880,33697
2004-10-01,2004,215313,77555,37703
2004-11-01,2004,234843,85968,41103
2004-12-01,2004,253983,94813,44190
2005-01-01,2005,272273,103621,47619
2005-02-01,2005,288876,114596,50565
2005-03-01,2005,306487,125814,53847
2005-04-01,2005,326326,138524,57780
2005-05-01,2005,348592,152718,62938
2005-06-01,2005,373306,170706,69202
2005-07-01,2005,399216,192899,75224
2005-08-01,2005,428897,212965,83221
2005-09-01,2005,452194,234960,90844
2005-10-01,2005,479716,257947,99636
2005-11-01,2005,502529,284324,106644
2005-12-01,2005,529319,314020,116200
2006-01-01,2006,561848,347667,128140
2006-02-01,2006,588170,375386,140839
2006-03-01,2006,619259,404863,154056
2006-04-01,2006,649360,435588,166010
2006-05-01,2006,681610,466832,181018
2006-06-01,2006,712378,500726,195179
2006-07-01,2006,743566,531518,212416
2006-08-01,2006,780717,563456,229952
2006-09-01,2006,812171,593653,246981
2006-10-01,2006,842298,625724,266088
2006-11-01,2006,876651,662705,284542
2006-12-01,2006,921582,693718,302291
2007-01-01,2007,956389,729342,320831
2007-02-01,2007,987539,765250,343132
2007-03-01,2007,1020676,804550,367297
2007-04-01,2007,1050364,865928,390442
2007-05-01,2007,1083506,935300,417916
2007-06-01,2007,1113235,983426,442337
2007-07-01,2007,1143628,1061454,465933
2007-08-01,2007,1174153,1137285,491840
2007-09-01,2007,1203730,1190013,519288
2007-10-01,2007,1233123,1272314,549132
2007-11-01,2007,1261315,1312829,575448
2007-12-01,2007,1289824,1350202,601119
2008-01-01,2008,1321856,1395959,634691
2008-02-01,2008,1353412,1440815,664262
2008-03-01,2008,1386017,1484160,693891
2008-04-01,2008,1414070,1521006,725702
2008-05-01,2008,1443236,1565537,758465
2008-06-01,2008,1471184,1615284,786909
2008-07-01,2008,1500414,1656457,814727
2008-08-01,2008,1530122,1696945,842148
2008-09-01,2008,1557374,1753393,874046
2008-10-01,2008,1585047,1796946,904713
2008-11-01,2008,1613082,1835633,931792
2008-12-01,2008,1641920,1872057,955912
2009-01-01,2009,1674462,1915686,983387
2009-02-01,2009,1704701,1955215,1010217
2009-03-01,2009,1736681,2008571,1047322
2009-04-01,2009,1763163,2047197,1081621
2009-05-01,2009,1791447,2086436,1116052
2009-06-01,2009,1817973,2122280,1150072
2009-07-01,2009,1844544,2154298,1183319
2009-08-01,2009,1872190,2190315,1220871
2009-09-01,2009,1898661,2225553,1262146
2009-10-01,2009,1928177,2274943,1303847
2009-11-01,2009,1955995,2317311,1347650
2009-12-01,2009,1986574,2359694,1382440
2010-01-01,2010,2019868,2424653,1423357
2010-02-01,2010,2047886,2487644,1464636
